カテゴリ,単語,ピンイン,意味
hsk1級,爱,ai4,愛する
hsk1級,八,ba1,八
hsk1級,爸爸,ba4 ba5,父
hsk1級,杯子,bei1 zi5,カップ
hsk1級,北京,Bei3 jing1,北京
hsk1級,本,ben3,本
hsk1級,不,bu4,ではありません
hsk1級,不客气,bu4 ke4 qi5,どういたしまして
hsk1級,菜,cai4,一品
hsk1級,茶,cha2,ティー
hsk1級,吃,chi1,食べる
hsk1級,出租车,chu1 zu1 che1,タクシー
hsk1級,打电话,da3 dian4 hua4,電話
hsk1級,大,da4,大きい
hsk1級,的,de5,の
hsk1級,点,dian3,時
hsk1級,电脑,dian4 nao3,パソコン
hsk1級,电视,dian4 shi4,テレビ
hsk1級,电影,dian4 ying3,映画
hsk1級,东西,dong1 xi5,事、物
hsk1級,都,dou1,全て
hsk1級,读,du2,読む
hsk1級,对不起,dui4 bu5 qi3,すみません
hsk1級,多,duo1,もっと
hsk1級,多少,duo1 shao3,どの位
hsk1級,儿子,er2 zi5,息子
hsk1級,二,er4,二つ
hsk1級,饭馆,fan4 guan3,レストラン
hsk1級,飞机,fei1 ji1,航空機
hsk1級,分钟,fen1 zhong1,分
hsk1級,高兴,gao1 xing4,幸せ、嬉しい
hsk1級,个,ge4,個
hsk1級,工作,gong1 zuo4,仕事
hsk1級,狗,gou3,犬
hsk1級,汉语,Han4 yu3,中国語
hsk1級,好,hao3,良い、とても
hsk1級,喝,he1,飲む
hsk1級,和,he2,と
hsk1級,很,hen3,非常に
hsk1級,后面,hou4 mian5,後ろ
hsk1級,回,hui2,帰る
hsk1級,会,hui4,できる
hsk1級,火车站,huo3 che1 zhan4,鉄道駅
hsk1級,几,ji3,どのくらい
hsk1級,家,jia1,家
hsk1級,叫,jiao4,呼ぶ
hsk1級,今天,jin1 tian1,今日
hsk1級,九,jiu3,九つ
hsk1級,开,kai1,開ける
hsk1級,看,kan1,見る
hsk1級,看见,kan4 jian4,見る
hsk1級,块,kuai4,塊
hsk1級,来,lai2,来る
hsk1級,老师,lao3 shi1,教師
hsk1級,了,le5,過去形を表す
hsk1級,冷,leng3,冷たい
hsk1級,里,li3,中
hsk1級,零,ling2,ゼロ
hsk1級,六,liu4,六
hsk1級,妈妈,ma1 ma5,ママ
hsk1級,吗,ma5,疑問を表す
hsk1級,买,mai3,購入する
hsk1級,猫,mao1,猫
hsk1級,没,mei2,ではありません
hsk1級,没关系,mei2 guan1 xi5,気にしないで
hsk1級,米饭,mi3 fan4,米
hsk1級,明天,ming2 tian1,明日
hsk1級,名字,ming2 zi5,名前
hsk1級,哪,na3,どの
hsk1級,哪儿,na3 r5,どこ
hsk1級,那,na4,その
hsk1級,那儿,na4 r5,そこ
hsk1級,呢,ne5,疑問を表す
hsk1級,能,neng2,できる
hsk1級,你,ni3,あなた
hsk1級,年,nian2,年
hsk1級,女儿,nv3 er2,娘
hsk1級,朋友,peng2 you5,友人
hsk1級,漂亮,piao4 liang5,美しい
hsk1級,苹果,ping2 guo3,リンゴ
hsk1級,七,qi1,七
hsk1級,钱,qian2,お金
hsk1級,前面,qian2 mian4,前
hsk1級,请,qing3,してください
hsk1級,去,qu4,行く
hsk1級,热,re4,熱い
hsk1級,人,ren2,人々
hsk1級,认识,ren4 shi5,知っている
hsk1級,日,ri4,日
hsk1級,三,san1,三つ
hsk1級,商店,shang1 dian4,ショップ
hsk1級,上,shang4,上の
hsk1級,上午,shang4 wu3,朝
hsk1級,少,shao3,少ない
hsk1級,谁,shei2,誰
hsk1級,什么,shen2 me5,何
hsk1級,十,shi2,十
hsk1級,时候,shi2 hou5,～の時
hsk1級,是,shi4,～である
hsk1級,书,shu1,本
hsk1級,水,shui3,水
hsk1級,水果,shui3 guo3,フルーツ
hsk1級,睡觉,shui4 jiao4,寝る
hsk1級,说话,shuo1 hua4,話します
hsk1級,四,si4,四
hsk1級,岁,sui4,歳
hsk1級,他,ta1,彼
hsk1級,她,ta1,彼女
hsk1級,太,tai4,かなり
hsk1級,天气,tian1 qi4,天気
hsk1級,听,ting1,聞く
hsk1級,同学,tong2 xue2,同級生
hsk1級,喂,wei4,もしもし
hsk1級,我,wo3,私
hsk1級,我们,wo3 men5,私たち
hsk1級,五,wu3,五
hsk1級,喜欢,xi3 huan5,好き
hsk1級,下,xia4,下
hsk1級,下午,xia4 wu3,午後
hsk1級,下雨,xia4 yu3,雨が降る
hsk1級,先生,xian1 sheng5,さん
hsk1級,现在,xian4 zai4,今
hsk1級,想,xiang3,したい
hsk1級,小,xiao3,小さな
hsk1級,小姐,xiao3 jie5,若い女性
hsk1級,些,xie1,一部
hsk1級,写,xie3,書く
hsk1級,谢谢,xie4 xie5,ありがとう
hsk1級,星期,xing1 qi1,週
hsk1級,学生,xue2 sheng5,学生
hsk1級,学习,xue2 xi2,ラーニング
hsk1級,学校,xue2 xiao4,学校
hsk1級,一,yi1,一
hsk1級,衣服,yi1 fu5,服
hsk1級,医生,yi1 sheng1,先生
hsk1級,医院,yi1 yuan4,病院
hsk1級,椅子,yi3 zi5,椅子
hsk1級,有,you3,持っている
hsk1級,月,yue4,月
hsk1級,在,zai4,どこどこで
hsk1級,再见,zai4 jian4,さようなら
hsk1級,怎么,zen3 me5,どのように
hsk1級,怎么样,zen3 me5 yang4,どうですか？
hsk1級,这,zhe4,これ
hsk1級,这儿,zhe4 r5,ここに
hsk1級,中国,Zhong1 guo2,中国
hsk1級,中午,zhong1 wu3,正午
hsk1級,住,zhu4,住んでいる
hsk1級,桌子,zhuo1 zi5,机
hsk1級,字,zi4,字
hsk1級,昨天,zuo2 tian1,昨日
hsk1級,坐,zuo4,座る
hsk1級,做,zuo4,する
hsk2級,吧,ba5,でしょ？
hsk2級,白,bai2,白
hsk2級,百,bai3,百
hsk2級,帮助,bang1 zhu4,助ける
hsk2級,报纸,bao4 zhi3,新聞
hsk2級,比,bi3,比較して
hsk2級,别,bie2,しないでください
hsk2級,长,chang2,長い
hsk2級,唱歌,chang4 ge1,歌を歌う
hsk2級,出,chu1,出る
hsk2級,穿,chuan1,着る
hsk2級,船,chuan2,ボート
hsk2級,次,ci4,次
hsk2級,从,cong2,から
hsk2級,错,cuo4,間違う
hsk2級,打篮球,da3 lan2 qiu2,バスケットボールをする
hsk2級,大家,da4 jia1,みんな
hsk2級,但是,dan4 shi4,しかし
hsk2級,到,dao4,へ
hsk2級,得,de5,得ます
hsk2級,等,deng3,待って
hsk2級,弟弟,di4 di5,弟
hsk2級,第一,di4 yi1,最初の
hsk2級,懂,dong3,分かった
hsk2級,对,dui4,へ
hsk2級,房间,fang2 jian1,部屋
hsk2級,非常,fei1 chang2,非常に
hsk2級,服务员,fu2 wu4 yuan2,店員
hsk2級,高,gao1,高い
hsk2級,告诉,gao4 su5,伝える
hsk2級,哥哥,ge1 ge5,兄
hsk2級,给,gei3,へ
hsk2級,公共汽车,gong1 gong4 qi4 che1,バス
hsk2級,公斤,gong1 jin1,キログラム
hsk2級,公司,gong1 si1,会社
hsk2級,贵,gui4,高い
hsk2級,过,guo4,過ぎる
hsk2級,还,hai2,さらに
hsk2級,孩子,hai2 zi5,子供
hsk2級,好吃,hao3 chi1,美味しい
hsk2級,号,hao4,番号
hsk2級,黑,hei1,黒
hsk2級,红,hong2,赤
hsk2級,欢迎,huan1 ying2,歓迎する
hsk2級,回答,hui2 da2,答える
hsk2級,机场,ji1 chang3,空港
hsk2級,鸡蛋,ji1 dan4,卵
hsk2級,件,jian4,アイテム
hsk2級,教室,jiao4 shi4,教室
hsk2級,姐姐,jie3 jie5,お姉ちゃん
hsk2級,介绍,jie4 shao4,紹介する
hsk2級,进,jin4,入ります
hsk2級,近,jin4,近く
